,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
46,Tambacounda,0,SN,1549818000,13,13.77,-13.67,100.4,9.17
47,Hilo,90,US,1549817580,62,19.71,-155.08,62.96,18.5
48,Punta Arenas,75,CL,1549818000,45,-53.16,-70.91,48.2,14.99
49,Mataura,32,NZ,1549822114,76,-46.19,168.86,56.13,2.39
50,Lorengau,68,PG,1549822114,100,-2.02,147.27,81.19,13.35
51,Muros,40,ES,1549819800,66,42.77,-9.06,50.0,5.82
52,Pevek,56,RU,1549822115,100,69.7,170.27,-20.6,15.7
53,Dunedin,0,NZ,1549822115,73,-45.87,170.5,50.05,2.73
54,Avarua,76,CK,1549819800,88,-21.21,-159.78,80.6,16.11
55,Upernavik,12,GL,1549822116,100,72.79,-56.15,3.57,19.51
56,Klaksvik,64,FO,1549821000,74,62.23,-6.59,33.8,17.22
57,Severo-Kurilsk,8,RU,1549822116,100,50.68,156.12,14.64,10.0
58,Dingle,48,PH,1549822117,75,11.0,122.67,76.29,15.26
59,Lima,0,PE,1549818000,66,-12.06,-77.04,84.2,14.99
60,Georgetown,40,GY,1549818000,83,6.8,-58.16,84.2,16.11
61,Pacific Grove,90,US,1549820100,78,36.62,-121.92,44.96,6.93
62,Jumla,80,NP,1549822118,87,29.28,82.18,20.98,1.72
63,Chifeng,0,CN,1549822118,67,42.27,118.96,-2.65,5.86
64,Castro,75,CL,1549818000,54,-42.48,-73.76,59.0,16.11
65,Saint-Philippe,1,CA,1549820100,47,45.36,-73.48,20.66,3.36
66,Ponta do Sol,80,BR,1549822119,64,-20.63,-46.0,81.87,8.66
67,Marawi,20,PH,1549822120,94,8.0,124.29,62.65,2.62
68,Udachnyy,48,RU,1549822120,62,66.42,112.4,-8.45,5.19
69,Nikolskoye,90,RU,1549819800,93,59.7,30.79,35.6,8.95
70,Port Elizabeth,1,US,1549817760,39,39.31,-74.98,35.06,8.05
71,Bandarbeyla,24,SO,1549822121,100,9.49,50.81,76.33,10.67
72,Gondanglegi,88,ID,1549822121,97,-7.75,112.01,72.19,2.84
73,Lebu,8,ET,1549822121,44,8.96,38.73,56.76,4.63
74,Lobito,36,AO,1549822121,65,-12.35,13.55,77.86,3.62
75,Akcakoca,0,TR,1549822122,90,41.09,31.12,29.76,1.83
76,Gorahun,0,LR,1549822122,21,8.17,-10.34,93.61,5.08
77,Loandjili,24,CG,1549822122,90,-4.77,11.87,82.54,9.1
78,Verkhoyansk,68,RU,1549822123,0,67.55,133.39,-37.34,1.16
79,Figeac,0,FR,1549819800,75,44.61,2.03,41.0,18.34
80,Narsaq,0,GL,1549817400,40,60.91,-46.05,33.8,40.26
81,Kodinsk,0,RU,1549822124,0,58.6,99.18,-31.85,2.39
82,Bilibino,48,RU,1549822124,34,68.06,166.44,-23.84,2.95
83,Imeni Zhelyabova,76,RU,1549822124,89,58.95,36.6,28.23,11.23
84,Los Llanos de Aridane,75,ES,1549819800,72,28.66,-17.92,68.0,10.29
85,Grindavik,75,IS,1549819800,63,63.84,-22.43,30.2,6.93
86,Cherskiy,20,RU,1549822125,38,68.75,161.3,-24.88,4.63
87,Iqaluit,75,CA,1549818000,43,63.75,-68.52,12.2,6.93
88,Vardo,1,US,1549820400,29,39.62,-77.74,35.6,3.96
89,Portland,20,US,1549817760,68,45.52,-122.67,32.0,10.29
90,Berlevag,75,NO,1549817400,92,70.86,29.09,24.8,3.36
91,Kelvington,24,CA,1549822127,28,52.16,-103.52,-20.38,4.63
92,Fortuna,0,ES,1549819800,42,38.18,-1.13,64.4,10.29
93,Salalah,40,OM,1549817400,53,17.01,54.1,75.2,5.82
94,Bambous Virieux,75,MU,1549818000,74,-20.34,57.76,78.8,8.05
95,Ingham,0,AU,1549822128,98,-18.65,146.16,78.4,2.39
96,Hithadhoo,92,MV,1549822128,100,-0.6,73.08,84.66,7.31
97,Kodiak,90,US,1549820100,100,39.95,-94.76,32.0,6.93
98,Flinders,0,AU,1549818000,82,-34.58,150.85,57.2,4.7
99,Aiquile,24,BO,1549822129,60,-18.2,-65.18,71.88,3.74
100,Imbituba,20,BR,1549818000,62,-28.24,-48.67,87.8,13.87
101,Husavik,20,CA,1549822130,84,50.56,-96.99,-9.17,4.07
102,Teguise,0,ES,1549819800,43,29.06,-13.56,71.6,12.75
103,Chokurdakh,36,RU,1549822130,61,70.62,147.9,-12.86,17.05
104,Laguna,90,MX,1549819620,39,27.52,-110.01,64.4,5.82
105,Souillac,40,FR,1549819800,76,45.6,-0.6,48.2,12.75
106,Dikson,76,RU,1549822132,85,73.51,80.55,-2.24,20.85
107,Kavieng,32,PG,1549822132,100,-2.57,150.8,81.06,12.01
108,Bethel,90,US,1549820460,92,60.79,-161.76,30.02,26.4
109,Adrar,0,DZ,1549818000,11,27.87,-0.29,73.4,18.34
110,Margate,75,AU,1549819800,72,-43.03,147.26,64.4,6.93
111,Eureka,40,US,1549820100,100,40.8,-124.16,39.02,4.7
112,Port Alfred,80,ZA,1549821869,94,-33.59,26.89,72.91,5.64
113,Teacapan,0,MX,1549822134,35,22.54,-105.74,82.81,2.73
114,Katherine,40,AU,1549819800,83,-14.47,132.26,80.6,6.93
115,Raudeberg,40,NO,1549819200,74,61.99,5.14,37.4,8.05
116,Akhtanizovskaya,75,RU,1549819800,93,45.32,37.1,35.6,6.71
117,San Isidro,44,PH,1549822137,88,16.74,121.63,66.61,2.17
118,Arraial do Cabo,0,BR,1549821600,66,-22.97,-42.02,91.4,28.86
119,Riyadh,90,SA,1549818000,77,24.63,46.72,64.4,10.29
120,Ketchikan,1,US,1549817760,53,55.34,-131.65,33.98,11.41
121,Namibe,32,AO,1549822138,100,-15.19,12.15,76.83,8.99
122,Sakaiminato,90,JP,1549818000,47,35.55,133.23,37.4,5.82
123,Isangel,36,VU,1549822139,100,-19.55,169.27,79.17,8.99
124,Tahoua,0,NE,1549818000,6,14.89,5.26,82.4,16.11
125,Tura,0,IN,1549822139,80,25.52,90.21,49.51,1.5
126,Ixtapa,40,MX,1549817340,51,20.71,-105.21,82.4,6.93
127,Tuatapere,32,NZ,1549822140,75,-46.13,167.69,64.32,8.1
128,Toucheng,75,TW,1549819800,93,24.86,121.82,62.6,12.75
129,Belmonte,80,PT,1549822140,98,40.36,-7.35,51.36,3.85
130,Hasaki,75,JP,1549819800,59,35.73,140.83,33.8,9.17
131,San Patricio,88,PY,1549822141,67,-26.98,-56.83,85.33,3.4
132,Nenjiang,12,CN,1549822141,56,49.17,125.23,-11.78,5.86
133,Guerrero Negro,100,MX,1549822142,74,27.97,-114.04,60.13,9.78
134,Tuktoyaktuk,75,CA,1549818000,84,69.44,-133.03,6.8,12.75
135,Nanortalik,88,GL,1549822142,90,60.14,-45.24,33.09,42.88
136,Reconquista,80,AR,1549822142,86,-29.14,-59.64,85.24,5.53
137,Pangnirtung,75,CA,1549818000,43,66.15,-65.72,10.4,5.19
138,Road Town,40,VG,1549821600,55,18.42,-64.62,86.0,12.75
139,Luderitz,0,NA,1549822143,69,-26.65,15.16,69.99,24.09
140,Carnarvon,24,ZA,1549822058,95,-30.97,22.13,64.14,3.74
141,Hobyo,12,SO,1549822143,88,5.35,48.53,76.51,13.58
142,Arman,20,RU,1549822144,66,59.7,150.17,-15.29,4.74
143,Birjand,40,IR,1549818000,61,32.86,59.22,48.2,6.93
144,Mount Gambier,90,AU,1549819800,100,-37.83,140.78,59.0,8.05
145,Hauterive,75,FR,1549819800,65,46.09,3.45,46.4,11.41
146,Bom Jardim,20,BR,1549818000,51,-7.8,-35.59,86.0,14.99
147,Ferrol,40,ES,1549819800,61,43.48,-8.23,50.0,5.82
148,Katsuura,75,JP,1549818000,69,33.93,134.5,37.4,4.7
149,Iralaya,75,HN,1549818000,78,15.0,-83.23,78.8,9.17
150,Bonfim,40,BR,1549818000,41,-20.33,-44.24,91.4,5.82
151,Farafangana,88,MG,1549822147,93,-22.82,47.83,79.21,8.55
152,Lakatoro,68,VU,1549822147,100,-16.11,167.42,77.01,3.4
153,Thompson,20,CA,1549818000,76,55.74,-97.86,-11.21,4.7
154,Yellowknife,90,CA,1549818000,84,62.45,-114.38,5.0,6.93
155,Lavrentiya,68,RU,1549822147,91,65.58,-170.99,18.96,7.31
156,Axim,0,GH,1549822148,99,4.87,-2.24,81.64,3.74
157,Vostok,44,RU,1549822148,59,46.45,135.83,-7.73,2.39
158,Faya,0,SA,1549818000,82,18.39,42.45,62.6,8.05
159,Carutapera,48,BR,1549822149,87,-1.2,-46.02,82.77,8.43
160,Beringovskiy,44,RU,1549822149,86,63.05,179.32,15.13,9.66
161,Belen,75,TR,1549817400,93,36.49,36.19,50.0,4.7
162,Arlit,0,NE,1549822149,34,18.74,7.39,67.06,7.31
163,Banda Aceh,48,ID,1549822150,99,5.56,95.32,74.98,4.52
164,Shenjiamen,92,CN,1549822150,100,29.96,122.3,44.29,16.82
165,Rocha,8,UY,1549822150,50,-34.48,-54.34,93.25,6.76
166,Yar-Sale,68,RU,1549822151,76,66.83,70.83,-6.92,15.82
167,Ostrovnoy,88,RU,1549822151,94,68.05,39.51,27.87,16.04
168,Vila Franca do Campo,20,PT,1549819800,88,37.72,-25.43,62.6,16.11
169,Altamont,12,CA,1549820100,83,49.4,-98.5,-13.01,6.93
170,Lagoa,40,PT,1549819800,87,37.14,-8.45,59.0,9.17
171,Terrace Bay,20,CA,1549818000,50,48.78,-87.1,6.8,3.36
172,Rayachoti,12,IN,1549822153,95,14.06,78.75,68.46,4.63
173,Aksu,40,KZ,1549819800,83,52.04,76.93,-9.41,8.95
174,Inhambane,20,MZ,1549818000,74,-23.87,35.38,78.8,8.05
175,Anadyr,75,RU,1549818000,77,64.73,177.51,1.4,6.71
176,Nome,1,US,1549820100,61,30.04,-94.42,64.4,6.93
177,Sao Sebastiao,80,BR,1549822154,100,-3.15,-58.36,76.69,5.3
178,Saint George,0,GR,1549819200,87,39.45,22.34,50.0,4.7
179,Mar del Plata,88,AR,1549822155,41,-46.43,-67.52,61.84,15.37
180,Klyuchi,32,RU,1549822155,55,52.25,79.17,-11.02,3.62
181,La Ronge,5,CA,1549818000,74,55.1,-105.3,-25.61,3.36
182,Sitka,68,US,1549822156,61,37.17,-99.65,48.66,11.34
183,Kieta,12,PG,1549822156,88,-6.22,155.63,81.46,10.89
184,Bull Savanna,12,JM,1549822157,53,17.89,-77.59,82.36,8.66
185,Laranjeiras do Sul,64,BR,1549822157,53,-25.41,-52.42,84.48,4.74
186,Ugoofaaru,0,MV,1549822157,100,5.67,73.0,82.45,9.33
187,Kenora,1,CA,1549820160,76,49.76,-94.48,-4.01,3.51
188,Saskylakh,48,RU,1549822158,73,71.97,114.09,-11.02,15.03
189,Shelburne,20,CA,1549818000,58,44.08,-80.2,24.8,6.93
190,Tomatlan,12,MX,1549822159,55,19.93,-105.25,83.49,3.29
191,Coria,92,ES,1549822159,100,39.98,-6.54,51.36,4.85
192,Prieska,32,ZA,1549822113,76,-29.67,22.74,74.31,2.84
193,Tigil,64,RU,1549822160,65,57.8,158.67,-4.0,4.29
194,Saint Anthony,90,US,1549820160,65,43.97,-111.68,32.0,17.22
195,Ancud,75,CL,1549818000,54,-41.87,-73.83,59.0,16.11
196,Kaitangata,8,NZ,1549822161,72,-46.28,169.85,54.73,1.72
197,Sturgeon Bay,90,US,1549820520,79,44.83,-87.38,24.8,9.17
198,Taltal,20,CL,1549822161,73,-25.41,-70.49,73.36,4.41
199,Hofn,75,IS,1549818000,73,64.25,-15.21,26.6,4.7
200,Lakes Entrance,0,AU,1549822162,100,-37.88,147.99,59.14,3.74
201,Talladega,90,US,1549820100,78,33.44,-86.11,51.08,8.05
202,Viedma,32,AR,1549822162,33,-40.81,-62.99,73.81,15.03
203,Salta,75,AR,1549818000,57,-24.79,-65.41,84.2,5.82
204,Saldanha,0,PT,1549822163,89,41.42,-6.55,49.29,6.98
205,Port Blair,0,IN,1549822164,100,11.67,92.75,82.14,13.8
206,San Quintin,0,PH,1549822164,84,17.54,120.52,63.55,2.73
207,Berdigestyakh,56,RU,1549822164,59,62.1,126.7,-12.68,5.41
208,Bilma,0,NE,1549822165,36,18.69,12.92,64.18,5.97
209,Popondetta,92,PG,1549822165,78,-8.77,148.24,71.11,2.39
210,Seoul,1,KR,1549821000,53,37.57,126.98,24.98,2.24
211,Cayenne,75,GF,1549819800,70,4.94,-52.33,84.2,11.41
212,Kathu,56,ZA,1549822166,46,-27.7,23.05,79.93,3.96
213,Yantal,0,RU,1549822166,0,56.85,105.25,-31.58,1.61
214,Zhuhai,0,CN,1549818000,56,40.71,112.04,14.0,17.9
215,Porto Belo,20,BR,1549818000,74,-27.15,-48.54,87.8,18.34
216,Saint-Augustin,90,FR,1549819800,66,44.83,-0.61,50.0,12.75
217,Red Bluff,1,US,1549817700,72,40.18,-122.24,39.2,3.36
218,Chuy,56,UY,1549822167,63,-33.69,-53.46,91.9,9.44
219,Harfleur,36,FR,1549819800,70,49.51,0.2,44.6,21.92
220,San Jeronimo,40,PE,1549818000,66,-13.65,-73.37,55.4,6.93
221,Preobrazheniye,0,RU,1549822168,58,42.9,133.91,-12.73,1.95
222,Erzin,75,TR,1549819200,100,36.95,36.2,50.0,2.28
223,Semey,48,KZ,1549822169,68,50.41,80.25,-1.3,5.53
224,Petropavlovsk-Kamchatskiy,0,RU,1549818000,70,53.05,158.65,-0.41,11.18
225,Constitucion,5,MX,1549817220,34,23.99,-104.67,66.2,8.05
226,Yulara,0,AU,1549818000,26,-25.24,130.99,71.6,5.82
227,Broken Hill,0,AU,1549818000,29,-31.97,141.45,66.2,4.7
228,Tasiilaq,0,GL,1549817400,60,65.61,-37.64,5.0,2.24
229,Rio Gallegos,40,AR,1549818000,30,-51.62,-69.22,55.4,34.45
230,Conceicao do Rio Verde,68,BR,1549822171,65,-21.88,-45.09,80.83,4.97
231,Dudinka,76,RU,1549822171,67,69.41,86.18,-9.08,14.36
232,Dogondoutchi,0,NE,1549822172,20,13.64,4.03,80.38,11.79
233,Makurdi,0,NG,1549822172,23,7.73,8.54,89.74,11.68
234,Vanimo,92,PG,1549822172,100,-2.67,141.3,78.4,14.7
235,High Level,90,CA,1549818000,83,58.52,-117.13,-11.21,3.18
236,Barrow,0,AR,1549822173,39,-38.31,-60.23,80.56,14.03
237,Manado,40,ID,1549819800,88,1.49,124.85,77.0,4.7
238,Victoria,75,BN,1549819800,94,5.28,115.24,80.6,6.93
239,Shingu,80,JP,1549822174,100,33.72,135.99,46.23,5.64
240,Esperance,40,TT,1549818000,48,10.24,-61.45,87.8,17.22
241,Aktau,90,KZ,1549819800,100,43.65,51.16,28.4,6.71
242,Ostersund,90,SE,1549819200,92,63.18,14.64,28.4,6.93
243,Bandipur,88,IN,1549822175,90,11.67,76.63,67.6,1.39
244,Dmytrivka,0,UA,1549819800,86,50.46,30.17,30.2,8.95
245,Brownsville,40,US,1549820100,83,25.91,-97.49,55.94,7.2
246,Seymchan,32,RU,1549822177,80,62.93,152.39,-19.07,3.4
247,Sao Joao da Barra,20,BR,1549818000,49,-21.64,-41.05,89.6,18.34
248,Tiksi,44,RU,1549822177,64,71.64,128.87,-14.35,15.7
249,Lewiston,75,US,1549821060,24,44.1,-70.21,30.92,6.93
250,Noumea,0,NC,1549819800,73,-22.28,166.46,73.4,7.43
251,Kruisfontein,88,ZA,1549822179,90,-34.0,24.73,66.7,9.66
252,Pisco,0,PE,1549818000,30,-13.71,-76.2,71.6,9.17
253,Qasigiannguit,0,GL,1549817400,55,68.82,-51.19,8.6,9.17
254,Muncar,80,ID,1549822180,100,-8.43,114.34,78.81,2.51
255,Yatou,32,CM,1549822180,91,3.63,9.81,84.61,12.12
256,Ucluelet,75,CA,1549819860,69,48.94,-125.55,33.8,12.75
257,Sorong,68,ID,1549822181,100,-0.86,131.25,80.61,11.9
258,Zhanaozen,92,KZ,1549822181,88,43.35,52.85,31.24,6.87
259,Benguela,64,AO,1549822181,100,-12.58,13.4,79.98,5.3
260,Limon,1,US,1549817700,71,39.26,-103.69,28.04,8.05
261,Morrinhos,48,BR,1549822182,81,-3.23,-40.13,84.88,13.69
262,Luena,92,AO,1549822182,100,-11.78,19.91,64.99,4.41
263,Stawell,44,AU,1549822183,90,-37.06,142.77,56.04,5.08
264,Antofagasta,20,CL,1549818000,64,-23.65,-70.4,73.4,19.46
265,Joshimath,44,IN,1549822183,94,30.57,79.57,4.24,0.6
266,Nuuk,20,GL,1549817400,58,64.17,-51.74,26.6,18.34
267,Svetlaya,0,RU,1549822184,100,46.54,138.33,5.91,10.33
268,Bonavista,76,CA,1549822184,100,48.65,-53.11,17.11,37.07
269,Houma,24,CN,1549822184,75,35.63,111.36,8.2,1.83
270,San Carlos de Bariloche,75,AR,1549818000,50,-41.13,-71.31,57.2,23.04
271,Praia,40,BR,1549818000,41,-20.25,-43.81,91.4,5.82
272,Nikki,0,BJ,1549822185,21,9.94,3.21,83.8,7.76
273,Russkaya Polyana,56,RU,1549822185,75,53.78,73.88,-11.38,3.74
274,Geraldton,20,CA,1549818000,64,49.72,-86.95,-0.41,6.93
275,Ilulissat,0,GL,1549817400,55,69.22,-51.1,8.6,9.17
276,Sarlat-la-Caneda,0,FR,1549819800,61,44.89,1.22,50.0,16.11
277,Biak,24,ID,1549822186,91,-0.91,122.88,78.81,3.85
278,Sambava,88,MG,1549822187,100,-14.27,50.17,80.07,12.91
279,Karratha,0,AU,1549821941,70,-20.74,116.85,79.53,8.55
280,Williamsburg,1,US,1549820280,33,37.27,-76.71,42.8,2.95
281,Huarmey,20,PE,1549822188,51,-10.07,-78.15,80.83,5.19
282,Chalus,90,IR,1549818000,100,36.66,51.42,50.0,4.41
283,Gorontalo,24,ID,1549822188,93,0.54,123.06,73.23,2.39
284,Kavaratti,32,IN,1549822188,100,10.57,72.64,82.63,7.43
285,Puerto Leguizamo,68,CO,1549822189,80,-0.19,-74.78,82.68,1.72
286,Chik,48,RU,1549819800,69,54.99,82.44,-11.21,2.24
287,Baisha,100,CN,1549822189,89,19.23,109.45,71.07,1.05
288,Danilov,90,RU,1549819800,79,58.19,40.17,23.0,4.47
289,Nemuro,20,JP,1549822190,100,43.32,145.57,23.41,16.26
290,Khatanga,48,RU,1549822190,76,71.98,102.47,-11.51,13.69
291,Vila Velha,20,BR,1549821600,70,-3.71,-38.6,86.0,16.11
292,Padang,40,ID,1549819800,100,-0.92,100.36,77.0,2.24
293,Grand-Santi,48,GF,1549822191,63,4.27,-54.38,86.68,3.4
294,Uusikaupunki,36,FI,1549819200,86,60.8,21.41,37.4,12.75
295,Menongue,88,AO,1549822192,84,-14.66,17.68,71.16,1.95
296,Vanavara,24,RU,1549822192,43,60.35,102.28,-27.67,3.96
297,Amapa,40,HN,1549821600,61,15.09,-87.97,82.4,2.24
298,Avera,90,US,1549820280,70,33.19,-82.53,46.4,9.17
299,Deputatskiy,48,RU,1549822193,68,69.3,139.9,-16.46,6.64
300,Labuhan,56,ID,1549822196,96,-2.54,115.51,74.04,1.5
301,Kinablangan,92,PH,1549822196,100,7.69,126.55,77.91,11.79
302,Ganzhou,92,CN,1549822197,99,25.86,114.93,38.08,4.41
303,Szydlowiec,68,PL,1549822197,70,51.23,20.86,39.84,15.59
304,Ishim,88,RU,1549822197,74,56.11,69.47,0.37,7.54
305,Dongsheng,100,CN,1549822198,87,29.72,112.52,28.0,2.95
306,Ewa Beach,75,US,1549821180,60,21.32,-158.01,69.8,23.04
307,Alice Springs,0,AU,1549819800,29,-23.7,133.88,66.2,3.4
308,Lashio,0,MM,1549822199,87,22.93,97.75,55.41,1.72
309,Christchurch,0,NZ,1549819800,93,-43.53,172.64,60.8,6.93
310,New London,1,US,1549820100,29,43.41,-71.99,30.02,8.05
311,Ahuimanu,75,US,1549821180,60,21.44,-157.84,69.8,23.04
312,Katangli,12,RU,1549822200,100,51.71,143.23,-7.55,12.57
313,Saint-Joseph,75,FR,1549819800,87,43.56,6.97,51.8,6.2
314,Gat,12,SN,1549819800,7,14.69,-16.54,95.0,6.93
315,Port Augusta,0,AU,1549818000,82,-32.49,137.76,59.0,5.82
316,Kununurra,75,AU,1549820760,94,-15.77,128.74,73.4,6.93
317,Batticaloa,88,LK,1549822203,96,7.71,81.69,79.89,7.65
318,Basoko,48,CD,1549822203,82,1.23,23.61,80.29,1.39
319,Pushkar,0,IN,1549822204,65,26.49,74.56,45.64,4.85
320,Harrison,90,US,1549820580,86,39.26,-84.82,33.08,3.4
321,Palmer,75,AU,1549819800,72,-34.85,139.16,66.2,11.41
322,Itarema,48,BR,1549822206,81,-2.92,-39.92,84.88,13.69
323,Puerto Ayacucho,20,CO,1549818000,49,5.66,-67.63,91.4,9.17
324,Cockburn Town,56,TC,1549822179,100,21.46,-71.14,77.46,20.07
325,Leningradskiy,64,RU,1549822206,84,69.38,178.42,-13.63,25.32
326,Emirdag,0,TR,1549822207,91,39.02,31.15,28.86,2.39
327,Rosarito,75,CO,1549818000,77,4.91,-75.23,82.4,6.93
328,Ituporanga,48,BR,1549822207,73,-27.41,-49.6,82.41,7.99
329,Rapid Valley,90,US,1549820100,84,44.06,-103.15,5.0,4.7
330,Turukhansk,64,RU,1549822208,69,65.8,87.96,-4.9,16.49
331,Pecos,90,US,1549820100,72,31.42,-103.49,40.46,3.96
332,Clyde River,1,CA,1549818000,74,70.47,-68.59,-23.81,4.7
333,Boende,24,CD,1549822208,78,-0.28,20.88,80.52,2.95
334,Beyneu,92,KZ,1549822209,72,45.32,55.19,18.33,9.66
335,Ola,36,RU,1549822209,100,59.58,151.3,-4.72,8.77
336,Khani,90,GE,1549819800,100,41.96,42.96,46.4,8.05
337,Hakkari,90,FI,1549819200,93,61.34,23.75,35.6,13.87
338,Rio Grande,0,BR,1549818000,66,-32.03,-52.1,86.0,3.36
339,Along,0,IN,1549822210,96,28.17,94.8,46.63,1.72
340,Chateauroux,0,FR,1549819800,61,43.72,0.65,50.0,10.29
341,Hammerfest,75,NO,1549819200,79,70.66,23.68,21.2,13.87
342,Atar,20,MR,1549822211,12,20.52,-13.05,85.92,10.78
343,Saint Paul,90,US,1549820760,83,44.95,-93.1,15.8,8.05
344,Tezu,0,IN,1549822212,81,27.93,96.16,44.97,1.95
345,Tabuk,68,PH,1549822212,94,17.41,121.44,63.42,1.72
346,Sokoni,64,CD,1549822213,89,-12.89,28.78,70.71,0.6
347,Eyl,8,SO,1549822213,100,7.98,49.82,74.35,11.79
348,Kapuskasing,20,CA,1549818000,59,49.42,-82.43,3.2,9.17
349,Nouadhibou,24,MR,1549818000,8,20.93,-17.03,87.8,4.7
350,Strezhevoy,0,RU,1549819800,76,60.73,77.6,-9.41,6.71
351,Dankov,88,RU,1549822214,89,53.25,39.16,21.61,10.78
352,Nisia Floresta,75,BR,1549818000,78,-6.09,-35.21,82.4,9.17
353,Ndola,36,ZM,1549822215,99,-12.97,28.64,65.31,3.74
354,Luwingu,44,ZM,1549822215,96,-10.26,29.92,66.88,7.65
355,Healdsburg,1,US,1549820100,87,38.61,-122.87,42.8,5.82
356,Paranaiba,0,BR,1549822216,63,-19.68,-51.19,90.51,5.97
357,Havoysund,75,NO,1549819200,86,71.0,24.66,26.6,12.75
358,Bara,0,NG,1549822217,17,10.41,10.6,80.79,9.89
359,Akdepe,90,TM,1549819800,92,42.05,59.39,35.6,4.7
360,Comodoro Rivadavia,40,AR,1549818000,36,-45.87,-67.48,62.6,5.82
361,Ulaangom,8,MN,1549822218,0,49.98,92.07,-37.7,2.17
362,Dong Xoai,0,VN,1549822219,66,11.53,106.92,73.59,6.2
363,Mackay,1,CA,1549820220,74,53.65,-115.58,-22.01,5.82
364,Vila,90,IT,1549819200,100,45.18,8.4,41.0,5.82
365,Komsomolskiy,88,RU,1549822220,82,67.55,63.78,3.21,14.14
366,Dahra,0,DZ,1549818000,59,36.25,0.85,62.6,6.93
367,Entre Rios,0,BR,1549822158,65,-11.94,-38.08,87.31,12.8
368,Zhoucheng,90,CN,1549818000,92,31.35,119.33,30.2,3.4
369,Manoel Urbano,44,BR,1549822101,70,-8.84,-69.26,87.72,2.95
370,Talnakh,76,RU,1549822222,77,69.49,88.39,-7.46,15.03
371,Sao Raimundo das Mangabeiras,36,BR,1549822222,91,-7.02,-45.48,83.35,3.96
